text,label
Government passes new education policy after parliament debate,0
Scientists confirm water presence on Mars after long research,0
WHO releases new health guidelines for 2025,0
Indian economy shows steady growth in quarterly report,0
New technology helps farmers increase crop yield,0
NASA launches new satellite to monitor climate change,0
Researchers develop AI system to detect diseases early,0
Supreme Court announces new ruling on digital privacy,0
Railway ministry launches new high speed train project,0
Government announces new tax reforms for small businesses,0
Health ministry starts nationwide vaccination drive,0
ISRO successfully tests new rocket engine,0
Weather department predicts normal monsoon this year,0
New electric vehicle policy announced by central government,0
Education board releases revised exam syllabus,0
AI based traffic management system launched in metro cities,0
Scientists discover new species in Amazon rainforest,0
Banking sector shows improved profit in annual report,0
Government increases funding for renewable energy projects,0
New cybersecurity law introduced to protect user data,0
Aliens landed in Delhi last night says anonymous source,1
Click here to earn 1 crore rupees working from home,1
Miracle cure discovered that doctors don't want you to know,1
Celebrity claims earth is flat during secret interview,1
Breaking news time traveler spotted in Mumbai railway station,1
Secret government document reveals mind control experiments,1
Drinking salt water cures cancer claims viral post,1
Government giving free laptops to everyone tomorrow fake claim,1
New planet approaching earth will cause blackout says blog,1
Whatsapp message claims bank accounts will close tonight,1
Man becomes invisible after drinking special herbal juice,1
Scientists hide truth about sun going cold fake article,1
Free gold coins for registering on unknown website,1
Actor reveals shocking secret about world ending soon,1
Unknown device found that can read human thoughts,1
Eating only bananas will make you immortal says post,1
Government banning internet permanently fake alert,1
Flying cars now available for public says fake ad,1
New virus spreads through mobile network claims rumor,1
Water turns into fuel after adding secret powder,1
Finance ministry announces new startup support scheme,0
New guidelines released for online education platforms,0
Researchers find link between sleep and mental health,0
Smart irrigation systems reduce water usage in farming,0
Government launches digital ID system nationwide,0
New metro line inaugurated to reduce city traffic,0
Scientists improve battery life using new material,0
Health experts recommend daily exercise for heart health,0
New space telescope begins deep space observations,0
Cybercrime cell warns against online fraud messages,0
Public sector banks announce reduction in loan interest rates,0
Climate report highlights rising sea levels globally,0
New skill development program launched for youth,0
Government signs international trade agreement,0
Researchers develop low cost cancer detection test,0
Electric buses introduced in major cities,0
New study shows benefits of meditation on brain,0
Digital payments increase significantly in rural areas,0
Fake message claims free ration without ID proof,1
Rumor says ATMs will stop working after midnight,1
New app promises instant money without work scam,1
Celebrity death hoax spreads on social media,1
Fake notice claims school exams cancelled permanently,1
Unknown energy discovered that breaks laws of physics,1
Cure for aging found in secret lab claims article,1
Government giving free land to citizens fake news,1
Mobile towers causing virus infection rumor,1
Special oil makes car run without fuel fake claim,1
Secret tunnel found under major city fake report,1
Doctors warn against viral fake medicine advertisement,0
Police department launches new cyber safety campaign,0
Government announces pension increase for senior citizens,0
Scientists publish peer reviewed study on climate change,0
New public health insurance scheme launched,0
Education ministry promotes digital classrooms initiative,0
New satellite improves weather forecasting accuracy,0
Researchers develop biodegradable plastic alternative,0
Government releases official unemployment data report,0
Health organization advises against fake viral health tips,0
Government launches national skill development mission for unemployed youth,0
Central bank announces new guidelines for digital lending platforms,0
Researchers confirm improved air quality in cities after policy changes,0
Health ministry issues advisory on seasonal flu prevention,0
New railway corridor approved to improve freight transportation,0
Scientists develop low cost water purification technology,0
Government increases budget allocation for public healthcare sector,0
Education ministry introduces online teacher training program,0
New satellite data helps improve cyclone prediction accuracy,0
Supreme Court directs states to implement road safety measures,0
Agriculture department launches soil testing initiative for farmers,0
Public transport authorities introduce electric buses in urban areas,0
Researchers publish findings on impact of climate change on crops,0
New cyber security framework announced to protect digital payments,0
Government releases annual report on employment growth,0
Secret device discovered that allows humans to live without sleep,1
Drinking this herbal tea guarantees instant memory boost claims post,1
Government secretly plans to replace currency next week rumor says,1
Alien spacecraft seen hovering above ocean viral video claims,1
New website promises guaranteed lottery winnings for small fee,1
Doctors shocked after man grows new organs using home remedy,1
Mobile phone update steals personal data claims fake alert,1
Scientists hiding proof that earth is shrinking fake article says,1
Government giving free houses to all citizens fake message,1
Special bracelet can cure diabetes without medicine claim,1
Time travel experiment successful says anonymous scientist,1
Eating only one fruit can prevent all diseases fake claim,1
Secret signal from space predicts world ending soon rumor,1
ATM machines will stop dispensing cash forever fake notice,1
New app claims users can earn money while sleeping scam,1